Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
2118,12/1/2015 0:49,12/1/2015 1:24,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24497,Subscriber,1975,1
267,12/1/2015 1:48,12/1/2015 1:53,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24543,Subscriber,1982,1
119,12/1/2015 3:05,12/1/2015 3:07,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24450,Subscriber,1983,1
340,12/1/2015 5:37,12/1/2015 5:42,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24445,Subscriber,1970,1
638,12/1/2015 5:50,12/1/2015 6:01,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24631,Subscriber,1984,2
227,12/1/2015 5:55,12/1/2015 5:59,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24599,Subscriber,1980,1
382,12/1/2015 5:58,12/1/2015 6:04,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,24666,Subscriber,1974,1
471,12/1/2015 6:01,12/1/2015 6:09,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24441,Subscriber,1958,1
382,12/1/2015 6:06,12/1/2015 6:12,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24411,Subscriber,1977,1
148,12/1/2015 6:11,12/1/2015 6:14,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24442,Subscriber,1973,1
2233,12/1/2015 6:31,12/1/2015 7:08,3185,City Hall,40.7177325,-74.043845,3187,Warren St,40.7211236,-74.03805095,24551,Subscriber,1962,1
176,12/1/2015 6:44,12/1/2015 6:47,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24599,Subscriber,1980,1
474,12/1/2015 6:48,12/1/2015 6:56,3209,Brunswick St,40.7241765,-74.0506564,3187,Warren St,40.7211236,-74.03805095,24724,Subscriber,1970,1
116,12/1/2015 7:03,12/1/2015 7:05,3206,Hilltop,40.7311689,-74.0575736,3206,Hilltop,40.7311689,-74.0575736,24611,Subscriber,1998,2
291,12/1/2015 7:11,12/1/2015 7:16,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24683,Subscriber,1979,1
140,12/1/2015 7:14,12/1/2015 7:16,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24439,Subscriber,1984,1
253,12/1/2015 7:19,12/1/2015 7:24,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24448,Subscriber,1966,1
201,12/1/2015 7:26,12/1/2015 7:29,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24506,Subscriber,1987,2
278,12/1/2015 7:29,12/1/2015 7:33,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24551,Subscriber,1982,1
603,12/1/2015 7:29,12/1/2015 7:39,3209,Brunswick St,40.7241765,-74.0506564,3183,Exchange Place,40.7162469,-74.0334588,24581,Subscriber,1979,1
246,12/1/2015 7:29,12/1/2015 7:33,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24535,Subscriber,1989,1
